Sector,Basis,Component,Measure,Units,Year,Qtr,Value
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1965,1,1.362
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1965,1,0.849
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1965,1,0.969
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1965,1,12.652
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1965,1,76.437
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1965,1,8.784
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1965,1,1.728
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1965,1,7.056
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1965,1,2.705
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1965,1,2.501
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1965,1,3.452
"Total economy","All workers",Farm,Employment,"Millions of jobs",1965,1,4.702
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1965,1,54.293
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1965,1,46.42
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1965,1,1.19
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1965,1,0.745
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1965,1,0.445
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1965,1,0.508
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1965,1,6.175
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1965,2,149.053
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1965,2,16.468
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1965,2,3.524
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1965,2,12.944
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1965,2,4.976
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1965,2,1.961
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1965,2,6.447
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1965,2,8.552
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1965,2,110.65
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1965,2,94.682
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1965,2,2.244
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1965,2,1.387
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1965,2,0.857
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1965,2,0.916
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1965,2,12.808
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1965,2,77.439
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1965,2,8.885
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1965,2,1.718
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1965,2,7.167
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1965,2,2.683
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1965,2,2.536
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1965,2,3.494
"Total economy","All workers",Farm,Employment,"Millions of jobs",1965,2,4.901
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1965,2,54.94
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1965,2,46.945
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1965,2,1.206
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1965,2,0.757
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1965,2,0.449
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1965,2,0.48
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1965,2,6.308
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1965,3,149.204
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1965,3,16.597
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1965,3,3.499
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1965,3,13.098
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1965,3,4.969
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1965,3,2.11
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1965,3,6.51
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1965,3,8.095
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1965,3,110.923
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1965,3,95.456
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1965,3,2.284
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1965,3,1.418
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1965,3,0.866
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1965,3,0.885
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1965,3,12.298
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1965,3,77.815
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1965,3,9.04
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1965,3,1.723
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1965,3,7.317
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1965,3,2.703
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1965,3,2.597
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1965,3,3.535
"Total economy","All workers",Farm,Employment,"Millions of jobs",1965,3,4.725
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1965,3,55.215
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1965,3,47.473
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1965,3,1.23
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1965,3,0.776
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1965,3,0.454
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1965,3,0.467
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1965,3,6.044
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1965,4,150.92
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1965,4,16.867
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1965,4,3.576
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1965,4,13.291
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1965,4,5.132
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1965,4,2.104
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1965,4,6.558
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1965,4,8.28
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1965,4,111.979
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1965,4,96.688
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1965,4,2.272
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1965,4,1.398
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1965,4,0.874
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1965,4,0.923
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1965,4,12.096
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1965,4,78.611
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1965,4,9.208
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1965,4,1.763
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1965,4,7.445
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1965,4,2.799
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1965,4,2.641
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1965,4,3.574
"Total economy","All workers",Farm,Employment,"Millions of jobs",1965,4,4.675
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1965,4,55.714
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1965,4,48.052
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1965,4,1.23
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1965,4,0.771
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1965,4,0.459
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1965,4,0.493
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1965,4,5.939
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1966,1,152.953
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1966,1,17.352
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1966,1,3.712
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1966,1,13.641
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1966,1,5.422
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1966,1,2.078
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1966,1,6.651
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1966,1,7.868
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1966,1,113.582
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1966,1,98.177
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1966,1,2.295
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1966,1,1.419
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1966,1,0.877
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1966,1,0.799
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1966,1,12.311
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1966,1,79.328
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1966,1,9.349
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1966,1,1.786
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1966,1,7.563
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1966,1,2.929
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1966,1,2.574
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1966,1,3.622
"Total economy","All workers",Farm,Employment,"Millions of jobs",1966,1,4.457
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1966,1,56.396
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1966,1,48.655
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1966,1,1.265
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1966,1,0.803
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1966,1,0.462
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1966,1,0.433
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1966,1,6.043
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1966,2,154.139
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1966,2,17.605
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1966,2,3.799
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1966,2,13.805
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1966,2,5.615
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1966,2,1.882
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1966,2,6.716
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1966,2,7.63
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1966,2,114.692
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1966,2,99.164
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1966,2,2.322
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1966,2,1.446
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1966,2,0.876
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1966,2,0.829
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1966,2,12.376
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1966,2,80.272
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1966,2,9.522
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1966,2,1.823
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1966,2,7.699
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1966,2,3.051
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1966,2,2.473
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1966,2,3.671
"Total economy","All workers",Farm,Employment,"Millions of jobs",1966,2,4.439
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1966,2,57.117
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1966,2,49.308
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1966,2,1.305
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1966,2,0.841
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1966,2,0.464
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1966,2,0.439
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1966,2,6.065
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1966,3,155.018
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1966,3,17.826
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1966,3,3.881
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1966,3,13.945
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1966,3,5.82
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1966,3,2.032
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1966,3,6.772
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1966,3,7.337
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1966,3,115.231
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1966,3,99.739
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1966,3,2.328
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1966,3,1.45
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1966,3,0.878
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1966,3,0.947
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1966,3,12.217
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1966,3,81.033
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1966,3,9.693
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1966,3,1.868
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1966,3,7.824
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1966,3,3.181
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1966,3,2.553
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1966,3,3.721
"Total economy","All workers",Farm,Employment,"Millions of jobs",1966,3,4.284
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1966,3,57.601
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1966,3,49.801
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1966,3,1.321
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1966,3,0.854
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1966,3,0.467
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1966,3,0.492
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1966,3,5.987
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1966,4,155.486
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1966,4,18.297
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1966,4,4.067
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1966,4,14.23
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1966,4,6.126
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1966,4,1.901
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1966,4,6.846
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1966,4,7.371
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1966,4,114.945
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1966,4,100.021
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1966,4,2.295
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1966,4,1.414
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1966,4,0.881
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1966,4,0.875
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1966,4,11.754
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1966,4,81.427
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1966,4,9.888
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1966,4,1.944
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1966,4,7.943
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1966,4,3.33
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1966,4,2.502
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1966,4,3.767
"Total economy","All workers",Farm,Employment,"Millions of jobs",1966,4,4.226
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1966,4,57.714
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1966,4,50.114
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1966,4,1.308
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1966,4,0.841
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1966,4,0.466
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1966,4,0.459
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1966,4,5.833
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1967,1,156.077
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1967,1,18.509
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1967,1,4.069
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1967,1,14.44
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1967,1,6.278
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1967,1,2.14
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1967,1,6.905
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1967,1,7.425
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1967,1,114.82
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1967,1,99.817
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1967,1,2.377
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1967,1,1.487
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1967,1,0.889
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1967,1,0.769
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1967,1,11.857
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1967,1,81.92
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1967,1,10.013
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1967,1,1.951
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1967,1,8.062
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1967,1,3.413
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1967,1,2.511
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1967,1,3.818
"Total economy","All workers",Farm,Employment,"Millions of jobs",1967,1,4.212
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1967,1,57.953
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1967,1,50.335
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1967,1,1.342
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1967,1,0.873
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1967,1,0.469
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1967,1,0.409
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1967,1,5.866
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1967,2,155.256
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1967,2,18.753
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1967,2,4.115
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1967,2,14.638
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1967,2,6.35
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1967,2,2.111
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1967,2,6.982
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1967,2,6.93
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1967,2,114.131
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1967,2,99.164
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1967,2,2.382
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1967,2,1.496
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1967,2,0.886
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1967,2,0.792
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1967,2,11.793
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1967,2,82.051
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1967,2,10.13
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1967,2,1.97
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1967,2,8.161
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1967,2,3.45
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1967,2,2.527
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1967,2,3.874
"Total economy","All workers",Farm,Employment,"Millions of jobs",1967,2,4.099
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1967,2,57.971
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1967,2,50.31
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1967,2,1.351
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1967,2,0.879
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1967,2,0.471
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1967,2,0.415
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1967,2,5.896
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1967,3,156.211
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1967,3,18.954
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1967,3,4.153
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1967,3,14.801
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1967,3,6.365
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1967,3,2.039
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1967,3,7.046
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1967,3,7.293
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1967,3,114.514
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1967,3,99.698
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1967,3,2.39
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1967,3,1.502
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1967,3,0.889
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1967,3,0.766
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1967,3,11.659
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1967,3,82.511
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1967,3,10.233
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1967,3,1.99
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1967,3,8.243
